"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","653","contact form submission with invalid email shows validation error","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1733","contact form submission with empty subject shows validation error","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","2505","login with valid credentials for vinayksgowda123567@gmail.com","webkit","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","806","login with XSS attempt shows error","firefox","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","1537","signup3 with invalid username shows validation error","webkit","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","2110","login with valid credentials for bob@example.com","webkit","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","852","get started link","firefox","2026-03-24","passed","2026-03-24","","example.spec.js","",""
"","1371","login with valid credentials for alice@example.com","firefox","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","2123","contact form submission with empty message shows validation error","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1528","signup with valid credentials for user@example.com","webkit","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","1054","contact form submission with invalid email shows validation error","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","688","signup1 with invalid email","chromium","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","1079","contact form submission with empty fields shows validation errors","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","971","signup2 with invalid phone shows validation error","firefox","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","717","contact form submission with empty fields shows validation errors","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","1533","login with valid credentials for vinayksgowda123567@gmail.com","firefox","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","724","signup with valid credentials for test@example.com","chromium","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","1236","login with empty email shows validation errors","webkit","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","2535","contact form submission with valid data for john@example.com","webkit","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","436","has title","firefox","2026-03-24","passed","2026-03-24","","example.spec.js","",""
"","978","login with empty email shows validation errors","firefox","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","986","contact form submission with valid data for alice@example.com","firefox","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","657","contact form submission with XSS attempt shows error","chromium","2026-03-24","passed","2026-03-24","","contact.spec.js","",""
"","2526","test2","webkit","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
"","744","has title","webkit","2026-03-24","passed","2026-03-24","","example.spec.js","",""
"","1305","login with valid credentials for test@example.com","firefox","2026-03-24","passed","2026-03-24","","login.spec.js","",""
"","1154","signup3 with invalid username shows validation error","firefox","2026-03-24","passed","2026-03-24","","signUp.spec.js","",""
